MAPREF,NAME,ADDRESS,BEDSPACES,STATUS,APPLNO,UPRN,BOUNDARY,OBJECTID,TYPE,STATUS2,Shape__Area,Shape__Length,NOTES,X,Y
84,Classic House,Classic House Stokes Croft Bristol BS1 3TB,49,Student accommodation,n/a,000000261580,UPRN extent,1569,,Student accommodation as at 11 Sept 2024,413.315,101.4374887, ,359007,173685
85,Cutter House,Cutter House 23 Cumberland Street Bristol BS2 8NL,20,Student accommodation,n/a,000000091799,UPRN extent,1570,,Student accommodation as at 11 Sept 2024,93.835,43.34371242, ,359161,173646
86,3-4 Byron Place,Second Floor Flat 3 Byron Place Bristol BS8 1JT,20,Student accommodation,n/a,000000199275,UPRN extent,1571,,Student accommodation as at 11 Sept 2024,131.09125,48.80448027, ,357896,173167
87,21-23 Clare Street,21 - 23 Clare Street City Centre Bristol BS1 1XA,20,Student accommodation,n/a,000000393337,UPRN extent,1572,,Student accommodation as at 11 Sept 2024,139.24875,47.46143012, ,358707,172954
88,Summer Court,Summer Court 3 Upper Byron Place Bristol BS8 1JZ,20,Student accommodation,n/a,000000279148,UPRN extent,1573,,Student accommodation as at 11 Sept 2024,573.4997,103.8829354, ,357891,173149
89,6 Upper Belgrave Road,6 Upper Belgrave Road Bristol BS8 2XQ,19,Student accommodation,n/a,000000069659,UPRN extent,1574,,Student accommodation as at 11 Sept 2024,908.035,154.2481976, ,357017,174483
90,Yelland House,Yelland House 33 - 35 Baldwin Street Bristol BS1 1RG,19,Student accommodation,n/a,000000305312,UPRN extent,1575,,Student accommodation as at 11 Sept 2024,124.5016,45.10049025, ,358801,172898
91,5-7 Alexandra Park,5 - 7 Alexandra Park Fishponds Bristol BS16 2BG,19,Student accommodation,n/a,000000324813,UPRN extent,1576,,Student accommodation as at 11 Sept 2024,407.786,81.58542816, ,362847,175616
92,68 Queens Road,68 Queens Road Clifton Bristol BS8 1QU,18,Student accommodation,n/a,000000098555,UPRN extent,1577,,Student accommodation as at 11 Sept 2024,337.9034,83.94288992, ,357890,173309
93,Manor House,Manor House 4 Park Lane Bristol BS2 8BE,18,Student accommodation,n/a,000000098602,UPRN extent,1578,,Student accommodation as at 11 Sept 2024,222.6,72.4448382, ,358450,173306
94,Clipper House,Clipper House 19 Cumberland Street Bristol BS2 8NL,17,Student accommodation,n/a,000000091923,UPRN extent,1579,,Student accommodation as at 11 Sept 2024,153.825,56.70377988, ,359150,173640
95,61-63 Queens Road,61 - 63 Queens Road Clifton Bristol BS8 1QL,17,Student accommodation,n/a,000000393340,UPRN extent,1580,,Student accommodation as at 11 Sept 2024,337.14375,80.4555453, ,357912,173223
96,St Bartholomews Court,St Bartholomews Court 18 Christmas Street Bristol BS1 5BT,17,Student accommodation,n/a,000000102268,UPRN extent,1581,,Student accommodation as at 11 Sept 2024,1825.23625,183.1748547, ,358652,173207
97,Launchpad Alexandra Park,Launchpad Alexandra Park Fishponds Bristol BS16 2BG,16,Student accommodation,n/a,000000375585,UPRN extent,1582,,Student accommodation as at 11 Sept 2024,517.12875,94.49597981, ,362760,175695
98,66B Queens Road,66B Queens Road Clifton Bristol BS8 1QU,16,Student accommodation,n/a,000000365815,UPRN extent,1583,,Student accommodation as at 11 Sept 2024,299.6,80.76413635, ,357902,173302
99,Prince Rupert House,Prince Rupert House Tyndalls Park Road Bristol BS8 1PG,16,Student accommodation,n/a,000000354624,UPRN extent,1584,,Student accommodation as at 11 Sept 2024,983.4285085,167.8925417, ,357868,173556
100,4 St Pauls Road,4 St Pauls Road Clifton Bristol BS8 1LT,15,Student accommodation,n/a,000000092411,UPRN extent,1585,,Student accommodation as at 11 Sept 2024,463.55375,128.7595989, ,357755,173612
101,Kent House,Kent House 31 Prince Street Bristol BS1 4PH,15,Student accommodation,n/a,000000300797,UPRN extent,1586,,Student accommodation as at 11 Sept 2024,164.03,51.17084657, ,358662,172586
102,27 Berkeley Square,27 Berkeley Square Bristol BS8 1HP,14,Student accommodation,n/a,000000101450,UPRN extent,1587,,Student accommodation as at 11 Sept 2024,136.639483,51.08478356, ,358038,173121
103,7 Berkeley Square,7 Berkeley Square Bristol BS8 1HG,14,Student accommodation,n/a,000000103063,UPRN extent,1588,,Student accommodation as at 11 Sept 2024,298.905,97.26661502, ,357960,173044
104,75 Jacobs Wells Road,75B Jacobs Wells Road Bristol BS8 1DJ,14,Student accommodation,n/a,000000261489,UPRN extent,1589,,Student accommodation as at 11 Sept 2024,132.28125,48.88110489, ,357699,172999
105,31 St Michaels Park (Campus House),31 St Michaels Park Bristol BS2 8BW,7,Student accommodation,n/a,000000092691,UPRN extent,1590,,Student accommodation as at 11 Sept 2024,215.91125,72.03307884, ,358250,173599
106,32 St Michaels Park (Campus House),32 St Michaels Park Bristol BS2 8BW,9,Student accommodation,n/a,000000092613,UPRN extent,1591,,Student accommodation as at 11 Sept 2024,213.38,71.02563683, ,358256,173603
107,19 Elmdale Road,19 Elmdale Road Clifton Bristol BS8 1SG,13,Student accommodation,n/a,000000094654,UPRN extent,1592,,Student accommodation as at 11 Sept 2024,616.7267,124.9275351, ,357890,173497
108,21-22 Berkeley Square,21 - 22 Berkeley Square Bristol BS8 1HP,13,Student accommodation,n/a,000000101485,UPRN extent,1593,,Student accommodation as at 11 Sept 2024,488.12,95.36835726, ,357995,173142
109,66A Park Street,66A Park Street City Centre Bristol BS1 5JN,13,Student accommodation,n/a,000000365045,UPRN extent,1594,,Student accommodation as at 11 Sept 2024,181.74125,63.51369344, ,358211,173069
110,33 St Michaels Park (Campus House),33 St Michaels Park Bristol BS2 8BW,8,Student accommodation,n/a,000000092570,UPRN extent,1595,,Student accommodation as at 11 Sept 2024,203.87375,69.3889124, ,358264,173606
111,43-45 Queens Road,43 - 45 Queens Road Clifton Bristol BS8 1QQ,12,Student accommodation,n/a,000000393338,UPRN extent,1596,,Student accommodation as at 11 Sept 2024,258.2637,66.42986558, ,357967,173196
112,17 Oakfield Place,17 Oakfield Place Bristol BS8 2BJ,12,Student accommodation,n/a,000000176781,UPRN extent,1597,,Student accommodation as at 11 Sept 2024,159.1233965,64.04983231, ,357629,173554
113,Redland Road,121 Redland Road Bristol BS6 6QX,12,Student accommodation,n/a,000000204516,UPRN extent,1598,,Student accommodation as at 11 Sept 2024,421.45,93.94389271, ,358144,174771
114,70B Park Street,70B Park Street City Centre Bristol BS1 5JN,12,Student accommodation,n/a,000000365047,UPRN extent,1599,,Student accommodation as at 11 Sept 2024,940.1916595,145.9296912, ,358211,173069
115,18 St Augustines Parade,18 St Augustines Parade Bristol BS1 4UL,11,Student accommodation,n/a,000000393334,UPRN extent,1600,,Student accommodation as at 11 Sept 2024,285.7025,87.68099651, ,358529,172889
116,14 Triangle South,First Floor Flat 14 Triangle South Bristol BS8 1EY,11,Student accommodation,n/a,000000200999,UPRN extent,1601,,Student accommodation as at 11 Sept 2024,174.6081,56.22188107, ,357931,173198
117,Hampton House,Hampton House 91 Hampton Lane Bristol BS6 6LE,11,Student accommodation,n/a,000000324135,UPRN extent,1602,,Student accommodation as at 11 Sept 2024,131.36625,50.84515425, ,357823,174021
118,22 Bond Street,22 Bond Street Bristol BS1 3LU,10,Student accommodation,n/a,000000363993,UPRN extent,1603,,Student accommodation as at 11 Sept 2024,81.15,38.91873417, ,359155,173514
119,1 Lower Park Row,1 Lower Park Row Bristol BS1 5BJ,10,Student accommodation,n/a,000000379184,UPRN extent,1604,,Student accommodation as at 11 Sept 2024,187.93375,76.15655425, ,358458,173118
120,60 Park Street,60 Park Street City Centre Bristol BS1 5JN,10,Student accommodation,n/a,000000103409,UPRN extent,1605,,Student accommodation as at 11 Sept 2024,366.5175,120.6757812, ,358216,173040
121,14 Charlotte Street,14 Charlotte Street City Centre Bristol BS1 5PP,10,Student accommodation,n/a,000000259680,UPRN extent,1606,,Student accommodation as at 11 Sept 2024,220.54,68.50487272, ,358106,173056
122,157 Whiteladies Road,Flat Above 157 Whiteladies Road Bristol BS8 2RF,10,Student accommodation,n/a,000000343097,UPRN extent,1607,,Student accommodation as at 11 Sept 2024,286.99919,73.19256094, ,357538,174542
123,98 Whiteladies Road,98 Kings Parade Avenue Bristol BS8 2RE,9,Student accommodation,n/a,000000393335,UPRN extent,1608,,Student accommodation as at 11 Sept 2024,250.38725,84.08671678, ,357543,174429
124,30A College Green,30A College Green Bristol BS1 5TB,9,Student accommodation,n/a,000000393336,UPRN extent,1609,,Student accommodation as at 11 Sept 2024,270.618545,77.4575175, ,358399,172824
126,47 Zetland Road,47 Zetland Road Bristol BS6 7AJ,9,Student accommodation,n/a,000000066213,UPRN extent,1610,,Student accommodation as at 11 Sept 2024,289.812475,86.10840179, ,358673,174660
127,15 Small Street,15 Small Street City Centre Bristol BS1 1DE,8,Student accommodation,n/a,000000393344,UPRN extent,1611,,Student accommodation as at 11 Sept 2024,360.9237,84.62892617, ,358752,173092
128,532 Fishponds Road,532 Fishponds Road Fishponds Bristol BS16 3DW,8,Student accommodation,n/a,000000053910,UPRN extent,1612,,Student accommodation as at 11 Sept 2024,138.193,58.20903123, ,362579,175346
129,101 Whiteladies Road,101 Whiteladies Road Bristol BS8 2PB,8,Student accommodation,n/a,000000080847,UPRN extent,1613,,Student accommodation as at 11 Sept 2024,314.042475,96.81450814, ,357782,174052
130,16 Charlotte Street,16 Charlotte Street City Centre Bristol BS1 5PP,8,Student accommodation,n/a,000000103004,UPRN extent,1614,,Student accommodation as at 11 Sept 2024,175.5275,60.327469, ,358118,173066
131,Sinclair House,Sinclair House Clifton Road Bristol BS8 1LD,8,Student accommodation,n/a,000000104546,UPRN extent,1615,,Student accommodation as at 11 Sept 2024,569.41423,204.7782468, ,357478,172971
132,75 Queens Road,Flat 1 75 Queens Road Clifton Bristol BS8 1QP,8,Student accommodation,n/a,000000234701,UPRN extent,1616,,Student accommodation as at 11 Sept 2024,89.38,40.47204967, ,357887,173253
133,76 Park Row,76 Park Row Bristol BS1 5LE,8,Student accommodation,n/a,000000301298,UPRN extent,1617,,Student accommodation as at 11 Sept 2024,85.25375,40.60104397, ,358125,173141
134,Hamilton Lodge,Hamilton Lodge Dighton Street Bristol BS2 8AJ,8,Student accommodation,n/a,000000353736,UPRN extent,1618,,Student accommodation as at 11 Sept 2024,218.215621,63.82437933, ,358878,173667
135,15 Charlotte Street,15 Charlotte Street City Centre Bristol BS1 5PP,8,Student accommodation,n/a,000000368963,UPRN extent,1619,,Student accommodation as at 11 Sept 2024,175.66125,63.06548415, ,358112,173061
136,2-3 Denmark St,2 - 3 Denmark Street Bristol BS1 5DQ,8,Student accommodation,n/a,000000256649,UPRN extent,1620,,Student accommodation as at 11 Sept 2024,117.152113,42.85374527, ,358519,172818
137,17A Christmas Steps,17A Christmas Steps Bristol BS1 5BS,7,Student accommodation,n/a,000000339837,UPRN extent,1621,,Student accommodation as at 11 Sept 2024,53.55625,33.09148126, ,358623,173193
138,79 Park Street,First Second And Third Floor Maisonette 79 Park Street City Centre Bristol BS1 5PF,7,Student accommodation,n/a,000000338184,UPRN extent,1622,,Student accommodation as at 11 Sept 2024,190.63125,70.56584124, ,358124,173090
139,9-11 St Stephens Street,9 - 11 St Stephens Street Bristol BS1 1EE,7,Student accommodation,n/a,000000257568,UPRN extent,1623,,Student accommodation as at 11 Sept 2024,103.945,43.06094441, ,358706,173025
140,The Yard,The Yard 7 Johnny Ball Lane Bristol BS2 8DW,6,Student accommodation,n/a,000000350193,UPRN extent,1624,,Student accommodation as at 11 Sept 2024,73.8834535,39.55706105, ,358651,173319
142,3a Cheltenham Lane,3A Cheltenham Lane Bristol BS6 5RA,5,Student accommodation,n/a,000000371979,UPRN extent,1625,,Student accommodation as at 11 Sept 2024,42.8661035,29.07337457, ,359007,174527
143,3b Cheltenham Lane,3B Cheltenham Lane Bristol BS6 5RA,5,Student accommodation,n/a,000000371980,UPRN extent,1626,,Student accommodation as at 11 Sept 2024,39.2304155,26.50946015, ,359005,174530
144,169B Whiteladies Road,169B Whiteladies Road Bristol BS8 2RL,16,Student accommodation,n/a,000000067362,UPRN extent,1627,,Student accommodation as at 11 Sept 2024,341.59375,112.336348, ,357485,174603
145,17 John Street,17 John Street City Centre Bristol BS1 2HR,5,Student accommodation,n/a,000000101105,UPRN extent,1628,,Student accommodation as at 11 Sept 2024,42.2475,26.49703108, ,358815,173149
146,16 John Street,16 John Street City Centre Bristol BS1 2HR,5,Student accommodation,n/a,000000194276,UPRN extent,1629,,Student accommodation as at 11 Sept 2024,40.95625,25.90190542, ,358818,173153
147,227-229 North Street,227 - 231 North Street Bedminster Bristol BS3 1JJ,4,Student accommodation,n/a,000000393342,UPRN extent,1630,,Student accommodation as at 11 Sept 2024,425.5373505,140.9575715, ,357546,171527
148,19-21 Gloucester Road,First Floor Flat 19 - 21 Gloucester Road Bishopston Bristol BS7 8AA,4,Student accommodation,n/a,000000354861,UPRN extent,1631,,Student accommodation as at 11 Sept 2024,329.87125,83.85072577, ,358909,174817
149,30 Whiteladies Road,30 Whiteladies Road Bristol BS8 2LG,4,Student accommodation,n/a,000000088827,UPRN extent,1632,,Student accommodation as at 11 Sept 2024,94.24125,39.98637055, ,357793,173770
150,7 Cromwell Road,7 Cromwell Road Montpelier Bristol BS6 5HD,4,Student accommodation,n/a,000000261575,UPRN extent,1633,,Student accommodation as at 11 Sept 2024,197.457535,57.18386884, ,358906,174694
152,70 Park Row,First Floor 70 Park Row Bristol BS1 5LE,6,Student accommodation,n/a,000000199656,UPRN extent,1634,,Student accommodation as at 11 Sept 2024,59.7865,32.29092936, ,358151,173130
153,53 St Michaels Hill (Campus House),53 St Michaels Hill Bristol BS2 8DZ,3,Student accommodation,n/a,000000096826,UPRN extent,1635,,Student accommodation as at 11 Sept 2024,230.26025,71.82867714, ,358447,173391
156,47 Doone Road,47 Doone Road Bristol BS7 0JQ,2,Student accommodation,n/a,000000301425,UPRN extent,1636,,Student accommodation as at 11 Sept 2024,88.391775,51.19091647, ,359896,177497
157,Lalonde House (Flat 7),Flat 7 Lalonde House 64A Queens Road Clifton Bristol BS8 1RE,1,Student accommodation,n/a,000000355933,UPRN extent,1637,,Student accommodation as at 11 Sept 2024,243.53,77.22846511, ,357907,173294
158,Woodland Road (Campus House),97 Woodland Road Bristol BS8 1US,9,Student accommodation,n/a,000000101557,UPRN extent,1638,,Student accommodation as at 11 Sept 2024,202.25375,76.27139802, ,358286,173138
1,Hiatt Baker Hall,Hiatt Baker Hall University Close Bristol BS9 1AD,748,Student accommodation,n/a,000000045112,Bespoke,1639,,Student accommodation as at 11 Sept 2024,25921.01885,777.1762137, ,356721,175906
151,443B Gloucester Road,443B Gloucester Road Horfield Bristol BS7 8TZ,4,Student accommodation,n/a,000000338216,UPRN extent,1640,,Student accommodation as at 11 Sept 2024,127.1806733,47.46643366, ,359431,176411
5,Badock Hall,Badock Hall Stoke Park Road Bristol BS9 1JQ,422,Student accommodation,n/a,000000046898,Bespoke,1641,,Student accommodation as at 11 Sept 2024,27057.09444,700.2930469, ,356471,175807
9,Churchill Hall,Churchill Hall Stoke Park Road Bristol BS9 1JG,355,Student accommodation,n/a,000000051366,Bespoke,1642,,Student accommodation as at 11 Sept 2024,35229.57402,835.7956388, ,356539,175527
11,Wills Hall,Wills Hall Parrys Lane Bristol BS9 1AE,336,Student accommodation,n/a,000000048990,Bespoke,1643,,Student accommodation as at 11 Sept 2024,22352.63223,755.4710382, ,356849,175694
15,University Hall,University Hall University Close Bristol BS9 1AR,294,Student accommodation,n/a,000000047126,Bespoke,1644,,Student accommodation as at 11 Sept 2024,16569.79272,586.2272837, ,356609,175796
24,Durdham Hall,Durdham Hall Hollybush Lane Bristol BS9 1UB,230,Student accommodation,n/a,000000193089,Bespoke,1645,,Student accommodation as at 11 Sept 2024,17648.7733,566.4642492, ,356668,175749
159,28 St Michaels Park (Campus House),28 St Michaels Park Bristol BS2 8BW,5,Student accommodation,n/a,000000092866,UPRN extent,1646,,Student accommodation as at 11 Sept 2024,321.395,82.37948492, ,358228,173588
160,29 St Michaels Park (Campus House),29 St Michaels Park Bristol BS2 8BW,5,Student accommodation,n/a,000000092794,UPRN extent,1647,,Student accommodation as at 11 Sept 2024,220.86,74.33256625, ,358237,173593
161,30 St Michaels Park (Campus House),30 St Michaels Park Bristol BS2 8BW,10,Student accommodation,n/a,000000092752,UPRN extent,1648,,Student accommodation as at 11 Sept 2024,229.88625,74.00552643, ,358243,173595
154,45 St Michaels Hill (Campus House),45 St Michaels Hill Bristol BS2 8DZ,5,Student accommodation,n/a,000000376366,UPRN extent,1649,,Student accommodation as at 11 Sept 2024,78.8625,45.19829545, ,358461,173375
155,43 St Michaels Hill (Campus House),43 St Michaels Hill Bristol BS2 8DZ,4,Student accommodation,n/a,000000376365,UPRN extent,1650,,Student accommodation as at 11 Sept 2024,79.543875,45.11917817, ,358464,173371
181,5 Park Street Avenue,5 Park Street Avenue Bristol BS1 5LQ,6,Student accommodation,n/a,000000379713,UPRN extent,1651,,Student accommodation as at 11 Sept 2024,146.25125,53.04789568, ,358166,173101
166,Dean Street Works,Dean Street Works 13 - 19 Dean Street St Pauls Bristol BS2 8SF,225,Student accommodation,n/a,000000376924,UPRN extent,1652,,Student accommodation as at 11 Sept 2024,1611.722926,179.4986559, ,359389,173838
41,6 Broad Quay,6 Broad Quay Bristol BS1 4DA,5,Student accommodation,n/a,000000106463,UPRN extent,1653,,Student accommodation as at 11 Sept 2024,78.22375,40.22780928, ,358622,172841
165,50A Park Street,50A Park Street City Centre Bristol BS1 5JN,13,Student accommodation,n/a,000000342979,UPRN extent,1654,,Student accommodation as at 11 Sept 2024,206.73375,69.19757247, ,358238,173011
182,Market Quarter Studio,Market Quarter Studio 13 - 21 Baldwin Street Bristol BS1 1NA,92,Student accommodation,n/a,000000105611,UPRN extent,1655,,Student accommodation as at 11 Sept 2024,814.2475,111.7762074, ,358709,172898
183,Phoenix Place,Phoenix Place 13 Straits Parade Bristol BS16 2LE,39,Student accommodation,n/a,000000381616,UPRN extent,1656,,Student accommodation as at 11 Sept 2024,583.7887445,115.231851, ,363653,176032
169,Print Hall II,Print Hall 2 Unity Street St Philips Bristol BS2 0GQ,218,Student accommodation,n/a,000000381734,UPRN extent,1657,,Student accommodation as at 11 Sept 2024,1935.520368,211.2844089, ,359667,173046
184,St Thomas Street,21 St Thomas Street Bristol BS1 6JS,367,Student accommodation,n/a,000000108597,UPRN extent,1658,,Student accommodation as at 11 Sept 2024,1378.79561,154.5196685, ,359228,172622
171,15-21 Bartley Street,15 - 21 Bartley Street Bristol BS3 4DY,13,Student accommodation,n/a,000000118488,UPRN extent,1659,,Student accommodation as at 11 Sept 2024,152.86875,58.49902592, ,358793,171698
170,The Malthouse,The Malthouse 29 Wilder Street Bristol BS2 8QA,345,Student accommodation,n/a,000000380155,UPRN extent,1660,,Student accommodation as at 11 Sept 2024,2729.577558,225.0081648, ,359180,173742
172,Gloucester Court,Gloucester Court 147A Gloucester Road Bishopston Bristol BS7 8BA,55,Student accommodation,n/a,000000378943,UPRN extent,1661,,Student accommodation as at 11 Sept 2024,107.39403,41.88537559, ,359048,175176
174,7A Hampton Lane,7A Hampton Lane Bristol BS6 6LE,3,Student accommodation,n/a,000000386601,Bespoke,1662,,Student accommodation as at 11 Sept 2024,183.8179172,65.56348961, ,357816,174066
175,7B Hampton Lane,7B Hampton Lane Bristol BS6 6LE,7,Student accommodation,n/a,000000386602,Bespoke,1663,,Student accommodation as at 11 Sept 2024,183.8179172,65.56348961, ,357816,174066
173,70A Whiteladies Road,70A Whiteladies Road Bristol BS8 2QA,10,Student accommodation,n/a,000000379600,UPRN extent,1664,,Student accommodation as at 11 Sept 2024,197.9925,64.8500804, ,357643,174270
177,34 Park Street,34 Park Street City Centre Bristol BS1 5JG,16,Student accommodation,n/a,000000393345,UPRN extent,1665,,Student accommodation as at 11 Sept 2024,281.382195,94.3382042, ,358279,172969
180,The Green,The Green 26 College Green Bristol BS1 5TB,62,Student accommodation,n/a,000000387000,UPRN extent,1666,,Student accommodation as at 11 Sept 2024,441.253281,89.44356675, ,358362,172850
501,68 Portview Road,68 Portview Road Bristol BS11 9JF,5,Proposed - pending decision,22/03739/F,000000013103,Planning,1667,,Proposed - pending decision as at 11 Sept 2024,655.0670829,179.8716381, ,351843,177860
303,Freestone Rd/Gas Lane/Kingsland Rd,159 - 179 Kingsland Road Bristol BS2 0QW,500,Planning permission granted,22/06050/F,000000109663,Planning,1668,,Planning permission granted as at 11 Sept 2024,4543.848561,309.2256714, ,360230,172603
402,Silverthorne Lane,Deborah Services Ltd Silverthorne Lane Bristol BS2 0QD,706,Planning permission granted,22/05155/F,000000274576,Planning,1669,,Planning permission granted as at 11 Sept 2024,7371.4262,376.8837674,Includes more than one application - 19/03867/P; 22/05155/F,360607,172566
312,Former Pring & St Hill (Plot 1),The Old Ironworks Malago Road Bristol BS3 4JQ,484,Planning permission granted,22/06085/F,000000372487,Planning,1670,,Planning permission granted as at 11 Sept 2024,5906.349318,504.7097989, ,358576,171319
