MAPREF,NAME,ADDRESS,BEDSPACES,STATUS,APPLNO,UPRN,BOUNDARY,OBJECTID,TYPE,STATUS2,Shape__Area,Shape__Length,NOTES,X,Y
164,St Nicholas Street (No. 25),25 St Nicholas Street Bristol BS1 1DL,26,Student accommodation,n/a,000000252805,UPRN extent,1699,,Student accommodation as at 11 Sept 2024,167.26,54.90284297, ,358813,172908
163,St Nicholas Street (No. 10),First Floor Flat 10 St Nicholas Street Bristol BS1 1UQ,12,Student accommodation,n/a,000000317292,UPRN extent,1700,,Student accommodation as at 11 Sept 2024,119.36,47.28977595, ,358913,172958
406,31-45 Lower Ashley Road,Former Site Of 31 To 45 Lower Ashley Road St Pauls Bristol BS2 9PZ,60,Planning permission granted,22/00682/CE,000000257879,Planning,1701,,Planning permission granted as at 11 Sept 2024,1011.508791,136.1797429,Includes more than one application - 18/05532/M; 22/00682/CE,359986,174330
178,Campbell House,Campbell House Whitson Street Bristol BS1 3FJ,431,Student accommodation,n/a,000000383633,UPRN extent,1702,,Student accommodation as at 11 Sept 2024,7015.06862,357.8732707, ,358798,173512
179,Zinc Quarter,Zinc Quarter Unity Street St Philips Bristol BS2 0NU,189,Student accommodation,n/a,000000384509,UPRN extent,1703,,Student accommodation as at 11 Sept 2024,2401.933829,196.7957234, ,359771,173098
186,Old Vicarage,The Vicarage Townhouse 4 Lamb Street Bristol BS2 0DU,29,Student accommodation,n/a,000000382297,Bespoke,1704,,Student accommodation as at 11 Sept 2024,269.0400085,66.10849653, ,359819,173350
502,54-56 Redcliff Street,54 - 56 Redcliff Street Bristol BS1 6LS,215,Proposed - pending decision,24/01213/F,000000110436,Planning,1705,,Proposed - pending decision as at 11 Sept 2024,910.2526017,133.52989, ,359112,172552
503,Land Former 109-119 Newfoundland Rd,Land At Former 111 To 119 Newfoundland Road Bristol BS2 9LU,101,Proposed - pending decision,24/00093/F,000000358187,Planning,1706,,Proposed - pending decision as at 11 Sept 2024,16462.00147,848.1966242, ,359728,173758
506,Maggs House,78 Queens Road Clifton Bristol BS8 1QU,127,Proposed - pending decision,24/01927/F,000000255300,Planning,1707,,Proposed - pending decision as at 11 Sept 2024,2003.661595,233.4016814, ,357856,173327
507,College House,32 - 34 College Green Bristol BS1 5SP,57,Proposed - pending decision,24/01955/F,000000106756,Planning,1708,,Proposed - pending decision as at 11 Sept 2024,784.0573158,115.1958061, ,358422,172803
508,The Galleries,The Galleries Broadmead Bristol,750,Proposed - pending decision,24/01850/P,000000202299,Planning,1709,,Proposed - pending decision as at 11 Sept 2024,24872.24995,1010.409085, ,359112,173242
405,Former Post Office Depot,Land Next To River Cattle Market Road Bristol,864,Multiple applications/permissions,24/01632/M,000000342005,Planning,1710,,Proposed - pending decision as at 11 Sept 2024,6765.885762,327.2111798,Includes more than one application - 17/06459/P; 19/02952/M; 24/01632/M,359892,172136
510,Bristol Beer Factory,291 North Street Bedminster Bristol BS3 1JP,112,Proposed - pending decision,24/02445/P,000000376267,Planning,1711,,Proposed - pending decision as at 11 Sept 2024,1480.757095,277.3280597, ,357329,171702
511,38 Albert Road,38 Albert Road Bristol BS2 0XA,530,Proposed - pending decision,24/02498/F,000000113952,Planning,1712,,Proposed - pending decision as at 11 Sept 2024,2574.161315,204.1318925, ,360018,172078
600,Former Alide Hire Services,Alide Hire Service Little George Street Bristol BS2 9DQ,299,Screening options,24/02610/SCR,000000094545,Bespoke,1713,,Screening options as at 11 Sept 2024,4101.98142,261.2428043, ,359827,173608
513,Waverley House (redevelopment),Waverley House Crow Lane City Centre Bristol BS1 1WH,290,Proposed - pending decision,24/03137/F,000000260594,Planning,1714,,Proposed - pending decision as at 11 Sept 2024,2083.81166,188.5776686,"Redevelopment of existing PBSA: bed total 507, net gain 290",358878,172813
188,Metal Works A,Metal Works A Dalby Avenue Bristol BS3 4FJ,296,Student accommodation,n/a,000000390935,UPRN extent (draft),1715,,Student accommodation as at 11 Sept 2024,3019.205451,255.194544, ,358755,171578
189,Metal Works B,Metal Works B Percy Street Bristol BS3 4FL,523,Student accommodation,n/a,000000391266,UPRN extent (draft),1716,,Student accommodation as at 11 Sept 2024,4741.390934,277.9838023, ,358827,171564
405,Former Post Office Depot,Land Next To River Cattle Market Road Bristol,1500,Multiple applications/permissions,17/06459/P,000000342005,Planning,1717,,Planning permission granted as at 11 Sept 2024,7128.630713,342.3655241,Includes more than one application - 17/06459/P; 19/02952/M; 24/01632/M,359892,172136
14,Marlborough House,Marlborough House Marlborough Street City Centre Bristol BS1 3NX,297,Student accommodation,n/a,000000319028,UPRN extent,1718,,Student accommodation as at 11 Sept 2024,2089.640134,208.7937989, ,358936,173613
21,Brunel House,Brunel House St Georges Road Bristol BS1 5PE,246,Student accommodation,n/a,000000106560,UPRN extent,1719,,Student accommodation as at 11 Sept 2024,4882.603739,367.0018515, ,358206,172828
308,56 Park Street,56 Park Street City Centre Bristol BS1 5ES,8,Planning permission granted,21/05933/F,000000297425,Planning,1720,,Planning permission granted as at 11 Sept 2024,678.8384125,122.7106864, ,358223,173024
309,Malago Scholar Quarters,157-159 West Street Bristol,49,Planning permission granted,22/00805/F,000000392891,Planning,1721,,Planning permission granted as at 11 Sept 2024,985.377503,157.8422635, ,357979,170951
401,Feeder Road and Albert Road,10 And 12-16 Feeder Road And 6-8 Albert Road Bristol BS2 0SB,623,Planning permission granted,23/04585/X,000000391938,Planning,1722,,Planning permission granted as at 11 Sept 2024,5718.30375,322.6923671,Includes more than one application - 19/01881/F; 23/04585/X,360042,172298
